id,day,soup
1901,2017-07-31,"Italian Wedding (df)"
1902,2017-07-31,"Chicken, Bacon, Local Corn Chowder (gf)"
1903,2017-08-04,"Seafood Chowder (p)"
1904,2017-08-04,"Local Corn Maque Choux"
1905,2017-08-10,"Thai-Style Chicken (gf, df)"
1906,2017-08-10,"Tomato Basil Bisque (v)"
1907,2017-08-16,"Chicken Curry with Basmati Rice (gf, df)"
1908,2017-08-16,"Caldo Verde (gf, df)"
1909,2017-08-08,"Pork Chile Verde (gf, df)"
1910,2017-08-08,"Great Grandma Hoffman’s Beef Ribley (df)"
1911,2017-08-09,"Tomato Basil Bisque (v)"
1912,2017-08-09,"Pork Chile Verde (gf, df)"
1913,2017-08-07,"Great-Grandma Hoffman’s Beef Ribley (df)"
1914,2017-08-07,"Seafood Chowder (p)"
1915,2017-08-02,"SunKing's Smoked Gouda"
1916,2017-08-02,"Chicken Noodle (df)"
1917,2017-08-03,"Local Corn Maque Choux "
1918,2017-08-03,"SunKing's Smoked Gouda"
1919,2017-08-11,"Local Corn, Black Bean, and Chorizo (gf, df)"
1920,2017-08-11,"Thai-Style Chicken (gf, df)"
1921,2017-08-15,"Caldo Verde (gf, df)"
1922,2017-08-15,"Beef Veggie Barley (df)"
1923,2017-08-14,"Beef Veggie Barley (df)"
1924,2017-08-14,"Local Corn, Black Bean and Chorizo (gf, df)"
1925,2017-08-01,"Chicken Noodle (df)"
1926,2017-08-01,"Italian Wedding (df)"
1927,2017-08-21,"Jambalaya(gf, df)"
1928,2017-08-21,"Chicken, Bacon, Local Corn Chowder"
1929,2017-08-17,"Turkey Chili (gf, df)"
1930,2017-08-17,"Chicken Curry with Basmati Rice (gf, df)"
1931,2017-08-18,"Chicken, Bacon, Local Corn Chowder"
1932,2017-08-18,"Turkey Chili (gf, df)"
1933,2017-08-23,"Turkey Noodle (df)"
1934,2017-08-23,"Chicken Tortilla (gf, df)"
1935,2017-08-24,"Greek Lemon Chicken Rice (gf)"
1936,2017-08-24,"Turkey Noodle (df)"
1937,2017-08-25,"Shrimp and Local Corn Chowder (p)"
1938,2017-08-25,"Greek Lemon Chicken Rice (gf)"
1939,2017-08-28,"Jose’s Pork Pozole (gf, df)"
1940,2017-08-28,"Shrimp and Local Corn Chowder (p)"
1941,2017-08-29,"Chicken Velvet"
1942,2017-08-29,"Jose’s Pork Pozole (gf, df)"
1943,2017-08-30,"Lobster Bisque  (p, gf)"
1944,2017-08-30,"Chicken Velvet"
1945,2017-08-31,"Senegalese Peanut Chicken (gf, df)"
1946,2017-08-31,"Lobster Bisque  (p, gf)"
1947,2017-09-01,"Local Corn, Black Bean, and Chorizo (gf, df)"
1948,2017-09-01,"Senegalese Peanut Chicken (gf, df)"
1949,2017-08-22,"Chicken Tortilla (gf, df)"
1950,2017-08-22,"Jambalaya(gf, df)"
2350,2017-09-04,"CLOSED "
2351,2017-09-04,"Happy Labor Day!"
2352,2017-09-05,"Tomato Basil (v)"
2353,2017-09-05,"Local Corn, Black Bean, and Chorizo (gf, df)"
2354,2017-09-06,"Chicken Tortilla (df)"
2355,2017-09-06,"Tomato Basil (v)"
2356,2017-09-07,"Stuffed Green Pepper (gf, df)"
2357,2017-09-07,"Chicken Tortilla (df)"
2358,2017-09-08,"Chicken, Bacon, Local Corn Chowder (gf)"
2359,2017-09-08,"Stuffed Green Pepper (gf, df)"
2360,2017-09-11,"Italian Wedding (df)"
2361,2017-09-11,"Chicken, Bacon, Local Corn Chowder (gf)"
2362,2017-09-12,"Cream of Chicken with Wild Rice"
2363,2017-09-12,"Italian Wedding (df)"
2364,2017-09-13,"Pork Chile Verde (gf, df)"
2365,2017-09-13,"Cream of Chicken with Wild Rice"
2366,2017-09-14,"Roasted Red Pepper and Sweet Potato (gf, df)"
2367,2017-09-14,"Pork Chile Verde (gf, df)"
2368,2017-09-15,"Local Corn, Black Bean, and Chorizo (gf, df)"
2369,2017-09-15,"Roasted Red Pepper and Sweet Potato (gf, df)"
2370,2017-09-18,"Beef Veggie Barley (df)"
2371,2017-09-18,"Local Corn, Black Bean  andChorizo (gf, df)"
2372,2017-09-19,"Thai-Style Chicken with Basmati Rice (gf, df)"
2373,2017-09-19,"Beef Veggie Barley (df)"
2374,2017-09-20,"Lobster Bisque  (p, gf)"
2375,2017-09-20,"Thai-Style Chicken with Basmati Rice (gf, df)"
2376,2017-09-21,"Brazilian Chicken Stew (gf, df)"
2377,2017-09-21,"Lobster Bisque  (p, gf)"
2378,2017-09-22,"Seafood Chowder (p)"
2379,2017-09-22,"Brazilian Chicken Stew (gf, df)"
2990,2017-09-25,"Pasta e Fagioli with Sausage (df)"
2991,2017-09-25,"Seafood Chowder (p)"
2992,2017-09-26,"Chicken Pot Pie"
2993,2017-09-26,"Pasta e Fagioli with Sausage (df)"
2994,2017-09-27,"Butternut Squash with Prosciutto (gf)"
2995,2017-09-27,"Chicken Pot Pie"
2996,2017-09-28,"Caldo Verde (gf, df)Butternut Squash with Prosciutto (gf)"
2997,2017-09-28,"Happy 2nd Anniversary, Subito!"
2998,2017-09-29,"Turkey Chili (gf, df)"
2999,2017-09-29,"Caldo Verde (gf, df)"
3000,2017-10-02,"Italian Wedding (df)"
3001,2017-10-02,"Turkey Chili (gf, df)"
3002,2017-10-03,"Chicken Noodle (df)"
3003,2017-10-03,"Italian Wedding (df)"
3004,2017-10-05,"Chicken Curry with Basmati Rice (gf, df)"
3005,2017-10-05,"Tomato Basil (v)"
3006,2017-10-06,"Clam Chowder (p)"
3007,2017-10-06,"Chicken Curry with Basmati Rice (gf, df)"
3008,2017-10-09,"Fall Veggie and Quinoa (vg, gf)"
3009,2017-10-09,"Clam Chowder (p)"
3010,2017-10-10,"Thai-Style Chicken (gf, df)"
3011,2017-10-10,"Fall Veggie and Quinoa (vg, gf)"
3012,2017-10-11,"Italian Sausage with Butternut Squash (gf)"
3013,2017-10-11,"Thai-Style Chicken (gf, df)"
3014,2017-10-04,"Tomato Basil (v)"
3015,2017-10-04,"Chicken Noodle (df)"
3016,2017-10-12,"Loaded Potato (v)"
3017,2017-10-12,"Italian Sausage with Butternut Squash (gf)"
3018,2017-10-16,"Shrimp and Sausage Gumbo"
3019,2017-10-16,"Ben's Czechoslovakian Stew (df)"
3020,2017-10-17,"Turkey Chili (gf, df)"
3021,2017-10-17,"Shrimp and Sausage Gumbo"
3022,2017-10-18,"Chicken Pot Pie"
3023,2017-10-18,"Turkey Chili (gf, df)"
3024,2017-10-19,"Tuscan White Bean and Sausage (gf, df)"
3025,2017-10-19,"Chicken Pot Pie"
3026,2017-10-20,"Great-Gma Hoffman's Beef Ribley (df)"
3027,2017-10-20,"Tuscan White Bean and Sausage (gf, df)"
3028,2017-10-23,"Jose's Pork Pozole (gf, df)"
3029,2017-10-23,"Great-Gma Hoffman's Beef Ribley (df)"
3030,2017-10-31,"Stuffed Green Pepper (gf, df)"
3031,2017-10-31,"Pork Chile Verde (gf, df)"
3032,2017-11-01,"Butternut Squash with Prosciutto (gf)"
3033,2017-11-01,"Stuffed Green Pepper (gf, df)"
3034,2017-10-30,"Pork Chile Verde (gf, df)"
3035,2017-10-30,"Seafood Chowder (p)"
3036,2017-10-24,"Lobster Bisque (p, gf)"
3037,2017-10-24,"Jose's Pork Pozole (gf, df)"
3038,2017-10-25,"Buffalo Chicken"
3039,2017-10-25,"Lobster Bisque (p, gf)"
3040,2017-10-26,"Brazilian Chicken Stew (gf, df)"
3041,2017-10-26,"Buffalo Chicken"
3042,2017-10-27,"Seafood Chowder (p)"
3043,2017-10-27,"Brazilian Chicken Stew (gf, df)"
3044,2017-11-03,"Chicken Velvet"
3045,2017-11-03,"Caldo Verde (gf, df)"
3046,2017-11-02,"Caldo Verde (gf, df)"
3047,2017-11-02,"Butternut Squash with Prosciutto (gf)"
3048,2017-10-13,"Ben's Czechoslovakian Stew (df)"
3049,2017-10-13,"Loaded Potato (v)"
3170,2017-11-06,"Fall Veggie and Quinoa (vg, gf)"
3171,2017-11-06,"Chicken Velvet"
3172,2017-11-07,"Brazilian Chicken Stew (gf, df)"
3173,2017-11-07,"Fall Veggie and Quinoa (vg, gf)"
3174,2017-11-08,"Roasted Red Pepper and Sweet Potato (df, gf)"
3175,2017-11-08,"Brazilian Chicken Stew (gf, df)"
3176,2017-11-09,"Italian Sausage and Butternut Squash (gf)"
3177,2017-11-09,"Roasted Red Pepper and Sweet Potato (df, gf)"
3178,2017-11-10,"Chicken Noodle (df)"
3179,2017-11-10,"Italian Sausage and Butternut Squash (gf)"
3180,2017-11-13,"Shrimp and Sausage Gumbo "
3181,2017-11-13,"Chicken Noodle (df)"
3182,2017-11-14,"Turkey Chili (gf, df)"
3183,2017-11-14,"Shrimp and Sausage Gumbo"
3184,2017-11-15,"Tomato Basil Bisque (v)"
3185,2017-11-15,"Turkey Chili (gf, df)"
3186,2017-11-16,"Thai-Style Chicken with Basmati Rice (gf, df)"
3187,2017-11-16,"Tomato Basil Bisque (v)"
3188,2017-11-17,"Clam Chowder (p)"
3189,2017-11-17,"Thai-Style Chicken with Basmati Rice (gf, df)"
3190,2017-11-20,"Brazilian Chicken Stew (gf, df)"
3191,2017-11-20,"Clam Chowder (p)"
3192,2017-11-21,"Loaded Potato (v)"
3193,2017-11-21,"Brazilian Chicken Stew (gf, df)"
3194,2017-11-22,"Tuscan White Bean and Sausage (gf, df)"
3195,2017-11-22,"Loaded Potato (v)"
3196,2017-11-23,"CLOSED "
3197,2017-11-23,"Happy Thanksgiving!"
3198,2017-11-24,"CLOSED "
3199,2017-11-24,"Happy Thanksgiving!"
3200,2017-11-27,"Chicken Velvet"
3201,2017-11-27,"Tuscan White Bean and Sausage (gf, df)"
3202,2017-11-28,"Yukgaejang (spicy beef and veggie)"
3203,2017-11-28,"Chicken Velvet"
3204,2017-11-29,"Lobster Bisque (p, gf)"
3205,2017-11-29,"Yukgaejang (spicy beef and veggie)"
3206,2017-11-30,"Great-Gma Hoffman's Beef Ribley"
3207,2017-11-30,"Lobster Bisque (p, gf)"
3208,2017-12-01,"Chicken Pot Pie"
3209,2017-12-01,"Great-Gma Hoffman's Beef Ribley"
3730,2017-12-05,"Jose's Pork Pozole (gf, df)"
3731,2017-12-05,"Fall Veggie Quinoa (vg, gf)"
3732,2017-12-04,"Fall Veggie and Quinoa (vg, gf)"
3733,2017-12-04,"Chicken Pot Pie"
3734,2017-12-06,"Tomato Basil Bisque (v)"
3735,2017-12-06,"Jose's Pork Pozole (gf, df)"
3736,2017-12-07,"Cheddar Bacon Potato"
3737,2017-12-07,"Tomato Basil Bisque (v)"
3738,2017-12-08,"Stuffed Green Pepper (gf, df)"
3739,2017-12-08,"Cheddar Bacon Potato"
3740,2017-12-11,"Butternut Squash with Italian Sausage (gf)"
3741,2017-12-11,"Stuffed Green Pepper (gf, df)"
3742,2017-12-12,"Brazilian Chicken Stew (gf, df)"
3743,2017-12-12,"Butternut Squash with Italian Sausage (gf)"
3744,2017-12-13,"Turkey Chili (gf, df)"
3745,2017-12-13,"Brazilian Chicken Stew (gf, df)"
3746,2017-12-14,"Thai-Style Chicken with Basmati Rice (gf, df)"
3747,2017-12-14,"Turkey Chili (gf, df)"
3748,2017-12-15,"Sun King's Smoked Gouda"
3749,2017-12-15,"Thai-Style Chicken with Basmati Rice (gf, df)"
3750,2017-12-20,"Lobster Bisque (p, gf)"
3751,2017-12-20,"Shredded Chicken Tortilla (gf, df)"
3752,2017-12-19,"Shredded Chicken Tortilla (gf, df)"
3753,2017-12-19,"Shrimp and Sausage Gumbo"
3754,2017-12-18,"Shrimp and Sausage Gumbo"
3755,2017-12-18,"Sun King's Smoked Gouda"
3756,2017-12-21,"Chicken Pot Pie"
3757,2017-12-21,"Lobster Bisque (p, gf)"
3758,2017-12-25,"CLOSED "
3759,2017-12-25,"HAPPY HOLIDAYS!"
3760,2017-12-26,CLOSED
3761,2017-12-26,"HAPPY HOLIDAYS!"
3762,2017-12-27,"Chicken Velvet"
3763,2017-12-27,"Pork Chile Verde (gf, df)"
3764,2017-12-28,"Smoking Goose Pancetta and Lentil (gf, df)"
3765,2017-12-28,"Chicken Velvet"
3766,2017-12-29,"Buffalo Chicken"
3767,2017-12-29,"Smoking Goose Pancetta and Lentil (gf, df)"
3768,2017-12-22,"Pork Chile Verde (gf, df)"
3769,2017-12-22,"Chicken Pot Pie"
3814,2018-01-01,CLOSED
3815,2018-01-01,"HAPPY NEW YEAR!"
3816,2018-01-02,"Chicken Curry with Basmati Rice (gf, df)"
3817,2018-01-02,"Buffalo Chicken"
3818,2018-01-03,"Tomato Basil Bisque (v)"
3819,2018-01-03,"Chicken Curry with Basmati Rice (gf, df)"
3820,2018-01-04,"Tuscan White Bean and Sausage (gf, df)"
3821,2018-01-04,"Tomato Basil Bisque (v)"
3822,2018-01-05,"Clam Chowder (p)"
3823,2018-01-05,"Tuscan White Bean and Sausage (gf, df)"
3824,2018-01-08,"Turkey Chili (gf, df)"
3825,2018-01-08,"Clam Chowder (p)"
3826,2018-01-12,"Broccoli Cheddar (v)"
3827,2018-01-12,"Great-Gma Hoffman's Beef Ribley (df)"
3828,2018-01-09,"Caldo Verde (gf, df)"
3829,2018-01-09,"Turkey Chili (gf, df)"
3830,2018-01-10,"Cream of Chicken with Wild Rice"
3831,2018-01-10,"Caldo Verde (gf, df)"
3832,2018-01-11,"Great-Gma Hoffman's Beef Ribley (df)"
3833,2018-01-11,"Cream of Chicken with Wild Rice"
3834,2018-01-15,"Italian Wedding (df)"
3835,2018-01-15,"Broccoli Cheddar (v)"
3836,2018-01-16,"Chicken Velvet"
3837,2018-01-16,"Italian Wedding (df)"
3838,2018-01-18,"Shredded Chicken Tortilla (gf, df)"
3839,2018-01-18,"Czechoslovakian Stew"
3840,2018-01-17,"Czechoslovakian Stew"
3841,2018-01-17,"Chicken Velvet"
3842,2018-01-19,"Seafood Chowder (p)"
3843,2018-01-19,"Shredded Chicken Tortilla (gf, df)"
3844,2018-01-22,"Thai-Style Chicken with Basmati Rice (gf, df)"
3845,2018-01-22,"Seafood Chowder (p)"
3846,2018-01-23,"Tomato Basil (v)"
3847,2018-01-23,"Thai-Style Chicken with Basmati Rice (gf, df)"
3848,2018-01-24,"Jose's Pork Pozole (gf, df)"
3849,2018-01-24,"Tomato Basil (v)"
3850,2018-01-25,"Lobster Bisque (p, gf)"
3851,2018-01-25,"Jose's Pork Pozole (gf, df)"
3852,2018-01-26,"Hunter's Beef Stew with Wild Rice"
3853,2018-01-26,"Lobster Bisque (p, gf)"
3854,2018-01-29,Title
3855,2018-01-09,"Tuesday, 1/30"
3856,2018-01-31,Title
3857,2018-02-02,Title
